id,supplier,description,amount_gbp,quantity,unit,category,date,document_type
INV-00009,Viking Direct,Printer paper A4,183.46,0.18,kg,paper_tonne,2026-02-08,invoice
INV-00004,British Gas,Electricity invoice,25257.73,25257.73,kWh,electricity,2026-01-26,invoice
INV-00070,Octopus Energy,Office electricity quarterly,8036.72,8036.72,kWh,electricity,2026-01-26,invoice
INV-00100,Esso,Fleet fuel,1947.3,2920.95,litre,diesel_litres,2026-01-22,invoice
INV-00039,UPS,International shipping,54416.43,0.54,tonne.km,freight_sea_kg_km,2026-01-18,invoice
INV-00094,Generic Supplies Ltd,Materials,764.49,764.49,GBP,generic_materials_gbp,2026-01-17,invoice
INV-00077,Travelodge,Business stay,2.4,2.4,night,hotel_night,2026-01-15,invoice
INV-00029,Thames Water,Water supply,78.37,78.37,m3,water_m3,2026-01-14,invoice
INV-00092,Shell Fuel,Petrol - business travel,307.7,430.78,litre,petrol_litres,2026-01-13,invoice
INV-00087,Shell Fuel,Petrol - business travel,705.26,987.36,litre,petrol_litres,2026-01-12,invoice
INV-00093,Viking Direct,Printer paper A4,320.72,0.32,kg,paper_tonne,2026-01-11,invoice
INV-00041,Thames Water,Water supply,95.99,95.99,m3,water_m3,2026-01-10,invoice
INV-00019,Viking Direct,Printer paper A4,157.69,0.16,kg,paper_tonne,2026-01-07,invoice
INV-00058,Generic Supplies Ltd,Materials,1074.78,1074.78,GBP,generic_materials_gbp,2026-01-07,invoice
INV-00097,British Gas,Electricity invoice,34648.33,34648.33,kWh,electricity,2026-01-07,invoice
INV-00057,Viking Direct,Printer paper A4,384.08,0.38,kg,paper_tonne,2025-12-30,invoice
INV-00013,British Gas,Natural gas supply,4596.88,4596.88,kWh,natural_gas,2025-12-24,invoice
INV-00075,Travelodge,Business stay,1.57,1.57,night,hotel_night,2025-12-24,invoice
INV-00021,British Gas,Electricity invoice,34791.44,34791.44,kWh,electricity,2025-12-22,invoice
INV-00002,Esso,Fleet fuel,1058.03,1587.05,litre,diesel_litres,2025-12-21,invoice
INV-00046,Consulting Co,Professional services,3563.85,3563.85,GBP,generic_services_gbp,2025-12-16,invoice
INV-00044,EDF Energy,Business electricity supply,35612.75,35612.75,kWh,electricity,2025-12-15,invoice
INV-00059,Consulting Co,Professional services,3130.82,3130.82,GBP,generic_services_gbp,2025-12-09,invoice
INV-00038,British Airways,Flight London-Edinburgh,443.86,443.86,km,flight_short_haul_km,2025-12-03,invoice
INV-00011,Travelodge,Business stay,2.02,2.02,night,hotel_night,2025-11-24,invoice
INV-00091,Thames Water,Water supply,149.31,149.31,m3,water_m3,2025-11-24,invoice
INV-00040,British Gas,Natural gas supply,6279.56,6279.56,kWh,natural_gas,2025-11-22,invoice
INV-00052,Shell Energy,Gas heating,8104.36,8104.36,kWh,natural_gas,2025-11-21,invoice
INV-00080,British Gas,Natural gas supply,8962.38,8962.38,kWh,natural_gas,2025-11-06,invoice
INV-00051,HP,Printer,504.6,504.6,GBP,office_equipment_gbp,2025-11-02,invoice
INV-00063,Consulting Co,Professional services,3919.72,3919.72,GBP,generic_services_gbp,2025-11-01,invoice
INV-00031,Premier Inn,Hotel accommodation - 2 nights,2.8,2.8,night,hotel_night,2025-10-26,invoice
INV-00072,Enterprise Rent-A-Car,Business car hire - 5 days,601.39,601.39,km,car_diesel_km,2025-10-25,invoice
INV-00028,HP,Printer,612.9,612.9,GBP,office_equipment_gbp,2025-10-22,invoice
INV-00068,Staples,Office paper and stationery,153.55,0.15,kg,paper_tonne,2025-10-22,invoice
INV-00066,DHL,Freight delivery,1044.52,1.04,tonne.km,freight_road_kg_km,2025-10-19,invoice
INV-00005,EDF Energy,Business electricity supply,9216.29,9216.29,kWh,electricity,2025-10-15,invoice
INV-00098,Dell,Laptop purchase,567.96,567.96,GBP,office_equipment_gbp,2025-10-14,invoice
INV-00071,TFL,Oyster business travel,67.71,67.71,km,train_underground_km,2025-10-13,invoice
INV-00085,EDF Energy,Business electricity supply,48604.83,48604.83,kWh,electricity,2025-10-13,invoice
INV-00056,National Rail,Rail tickets London-Manchester,371.84,371.84,km,train_national_km,2025-10-11,invoice
INV-00026,HP,Printer,302.68,302.68,GBP,office_equipment_gbp,2025-10-09,invoice
INV-00082,BP Fuel,Diesel for company vehicles,701.38,1052.07,litre,diesel_litres,2025-10-07,invoice
INV-00048,EDF Energy,Business electricity supply,47921.72,47921.72,kWh,electricity,2025-09-30,invoice
INV-00034,HP,Printer,475.31,475.31,GBP,office_equipment_gbp,2025-09-29,invoice
